股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ001236,弘业期货,12.01,-0.74,-5.8,545.7,47319957,585302829.77,46.95,172.499,0.25,12103411114
SZ001258,立新能源,17.37,-0.63,-3.5,413.91,70892149,1239469085.9,30.38,98.713,0,16212000012
SZ001270,铖昌科技,109.1,0.4,0.37,403.23,3824868,426859786.43,13.68,71.994,0,12198792409
SZ300565,科信技术,54.54,4.64,9.3,364.17,32037737,1634027229.7,17.01,,0,11344320000
SZ000670,盈方微,9.76,-0.29,-2.89,333.78,132627355,1323875197.36,22.04,969.426,0,7970283034
SH600734,ST实达,5.05,-0.02,-0.39,288.82,2950306,14906082,0.14,14.158,0,11000430685
SH600992,贵绳股份,35.27,3.21,10.01,257.26,35708388,1230296430,14.57,341.821,0.108,8644324300
SH600818,中路股份,30.7,-0.41,-1.32,254.57,9669611,297408750,4.06,354.779,0.215,9868450837
SH603051,鹿山新材,90.88,5.84,6.87,254.36,5488533,482933892,23.86,59.857,0.44,8361868800
SZ002866,传艺科技,43.81,3.98,9.99,250.93,48338819,2100339204.89,27,88.514,0.137,12598491249
SH600603,广汇物流,12.27,0.43,3.63,209.07,31497513,380063078,2.51,45.95,0,15396651793
SZ000957,中通客车,17.05,0.34,2.03,200.71,90347910,1497451150.94,15.24,,0,10109012109
SZ002356,赫美集团,6.1,-0.04,-0.65,193.09,8156832,49779439.5,0.62,8.008,0,7998652578
SZ002992,宝明科技,38.9,0.76,1.99,189.87,11444590,445815359.72,14.6,,0,7195182652
SH688290,景业智能,97.27,7.87,8.8,187.02,991231,93258169,5.91,80.715,0,8015048000
SZ301278,快可电子,99.14,-1.87,-1.85,184.56,2343133,235044437.95,14.64,75.444,0,6344960000
SH603399,吉翔股份,18.11,-0.29,-1.58,173.98,11908071,217869043,2.34,,0,9392763253
SZ000595,宝塔实业,8.62,0.17,2.01,170.22,183715863,1589859799.74,16.14,,0,9815217875
SH603170,宝立食品,25.92,0.2,0.78,157.91,4603339,119037945,11.51,57.067,0,10368259200
SZ301073,君亭酒店,56.7,1.45,2.62,149.47,2271193,128270033.75,7.52,269.125,0.588,6849927000
SZ002514,宝馨科技,12.34,0.43,3.61,145.33,65770327,805367913.05,11.87,,0,8885222818
SH603908,牧高笛,100.82,2.59,2.64,145.2,1722500,174282488,2.58,48.599,0.893,6723685800
SZ002965,祥鑫科技,61,-0.98,-1.58,142.82,11919936,734885060.72,11.82,118.684,0.178,10857270318
SH688091,上海谊众-U,108,-2.59,-2.34,140.64,817741,89643714,3.22,165.102,0,11426400000
SH688320,禾川科技,56.65,3.19,5.97,139.43,2005599,112588345,6.49,76.436,0,8554924292
SZ001228,永泰运,70.68,5.18,7.91,132.04,4823090,336113166.48,18.57,30.035,0.424,7341150564
SZ301266,宇邦新材,62.25,0.37,0.6,131.76,1841627,115460738.35,7.47,81.135,0,6474000000
SZ002077,大港股份,17.66,1.61,10.03,130.25,162718229,2819321601.14,28.04,121.443,0,10248954740
SZ000736,中交地产,14.55,0.9,6.59,129.68,79997921,1125649413.27,11.5,63.924,0.275,10118560175
SH600313,农发种业,11.94,0.26,2.23,126.14,89755763,1060754469,8.8,149.098,0,12921452036
SH603398,沐邦高科,43.91,3.3,8.13,121.99,18926640,824788688,5.52,,0,15045081202
SZ001330,博纳影业,11.13,-0.29,-2.54,121.27,47033417,529233933.69,17.11,26.75,,15298396292
SH688261,东微半导,284.23,11.11,4.07,118.93,636994,181285986,4.28,90.384,0.116,19150384792
SH603070,万控智造,20.29,-0.09,-0.44,116.84,3829443,77986231,6.38,40.981,0.739,8136290000
SH900948,伊泰B股,1.719,-0.001,-0.06,115.55,2740448,4699469,0.21,2.987,8.07,5593638033
SH688377,迪威尔,40.06,-0.56,-1.38,115.26,782228,31442140,0.72,111.886,0,7798360020
SH688170,德龙激光,63.93,7.33,12.95,114.15,4734521,293851385,22.51,79.001,0.782,6607804800
SZ002101,广东鸿图,24.89,0.37,1.51,113.17,31828172,791626342.18,6.02,33.769,1.205,13163794975
SH605366,宏柏新材,21.04,0.51,2.48,107.28,13970938,295588207,6.64,26.673,0.585,9180972320
SZ000965,天保基建,5.3,0.05,0.95,103.85,112556447,588768273.98,10.14,29.549,0,5882103744
SH603191,望变电气,24.15,0.64,2.72,103.63,6834306,163953875,8.21,35.636,0,8045992879
SH603612,索通发展,40.77,2.87,7.57,102.94,23463275,944163202,5.39,20.947,1.151,18779395208
SH603477,巨星农牧,30.7,0.54,1.79,98.46,11066633,335153145,2.3,,0.169,15537068700
SH603366,日出东方,9.87,0.32,3.35,98.14,66685983,643037538,8.34,52.268,0.792,8108771538
SZ300125,聆达股份,32.67,0.76,2.38,96.57,20383042,666699228.84,7.73,,0,8673884837
SZ002731,萃华珠宝,21.08,-0.57,-2.63,96.41,2610050,55905429.2,1.09,183.586,0.047,5399768480
SZ301312,智立方,141.79,-1.31,-0.92,96.03,917900,131480920.5,8.97,57.809,0,5805274224
SZ001313,粤海饲料,10.48,0.01,0.1,95.61,3935005,41265791.58,3.94,103.44,0.525,7336000000
SZ000913,钱江摩托,27.42,0.16,0.59,93.23,4690222,129147221.59,1.03,48.229,0,12858088020
SZ301120,新特电气,26.2,0.73,2.87,93.11,11801860,306276120.38,22.49,64.758,0.763,6487837094
SZ001205,盛航股份,33.19,0.54,1.65,92.49,4160111,135013823.06,3.56,35.996,0.28,5664515162
SZ002543,万和电气,13.89,1.26,9.98,92.46,72262166,927774965.53,11.45,31.031,2.376,10328604000
SH600996,贵广网络,10.71,0.12,1.13,92.28,57551234,621096709,5.4,,0,11405062046
SZ000868,安凯客车,7.72,0.7,9.97,91.56,122554594,917804882.61,16.71,,0,5661301177
SZ000525,ST红太阳,16.85,0.8,4.98,91.48,12069941,198626794.93,2.1,,0,9786022910
SH688401,路维光电,48.01,2.71,5.98,91.43,4932998,236266133,17.33,79.918,0,6401346136
SH688283,坤恒顺维,64.38,4.38,7.3,90.79,732164,46392733,3.99,92.5,0.096,5407920000
SZ301175,中科环保,7.16,0.09,1.27,87.43,16428469,117304532.72,5.14,55.75,0,10538660800
SH688560,明冠新材,64.25,0.55,0.86,87.2,5718870,366867943,6.48,65.141,0.389,10542637038
