股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ001236,弘业期货,12.34,0.32,2.66,563.44,40470419,494314535.04,40.16,177.239,0.243,12435977781
SZ001258,立新能源,17.6,0.99,5.96,420.71,102749775,1771729614.04,44.04,100.02,0,16426666678
SZ001270,铖昌科技,108.6,1.04,0.97,400.92,5812613,635590857.96,20.79,71.664,0,12142885936
SZ000670,盈方微,10.43,-0.97,-8.51,363.56,207522220,2292752514.72,34.48,1035.975,0,8517423365
SH688348,昱能科技,651.6,33.05,5.34,299.75,772243,498530979,4.23,266.674,0,52128000000
SH600734,ST实达,5.03,-0.09,-1.76,287.28,3890600,19639562,0.19,14.102,0,10956864623
SH688072,拓荆科技-U,275.45,11.33,4.29,283.21,1459381,390177741,5.58,177.169,0,34838584634
SZ300565,科信技术,41.58,1.92,4.84,253.87,30046017,1252580330.06,15.96,,0,8648640000
SH600818,中路股份,30.4,-0.13,-0.43,251.1,11464992,349405229,4.82,351.313,0.217,9772016464
SH603176,汇通集团,8.47,0.28,3.42,246.79,11867047,99765215,10.17,57.193,0.354,3952610200
SH688223,晶科能源,17.17,-0.14,-0.81,243.92,38046894,659767830,2.72,115.91,0.134,171700000000
SZ002761,浙江建投,23.89,0.47,2.01,220.29,15146921,361731020.92,3.07,23.278,0.837,25833214941
SH600992,贵绳股份,30.21,0.7,2.37,206,39081754,1185428367,15.95,292.782,0.126,7404168900
SH603051,鹿山新材,77.31,0.69,0.9,201.45,2799000,218955541,12.17,50.919,0.517,7113293100
SZ002356,赫美集团,6.17,0.41,7.12,196.45,17850100,108111048.7,1.36,8.1,0,8090440395
SZ301269,华大九天,95.75,-2.65,-2.69,192.9,9806985,935262157.41,13.35,324.886,0,51986674286
SH600603,广汇物流,11.61,1.06,10.05,192.44,37567881,419175661,2.99,43.478,0,14568470034
SZ000957,中通客车,16.46,-0.53,-3.12,190.3,59515698,976374679.58,10.04,,0,9759198787
SZ002866,传艺科技,36.21,3.29,9.99,190.06,3612158,130796241.18,2.02,73.159,0.166,10412950654
SH603122,合富中国,11.82,0.04,0.34,186.12,3539992,42002074,3.56,57.722,1.523,4704982122
SZ301278,快可电子,98.78,0.18,0.18,183.52,2116080,209805160.46,13.23,75.17,0,6321920000
SH600026,中远海能,16.6,1.4,9.21,180.41,80242120,1302445491,2.79,,0,79194888157
SZ001222,源飞宠物,38.32,0.57,1.51,179.5,11124951,421677590.33,32.62,28.689,,5224932000
SH603399,吉翔股份,17.86,-0.64,-3.46,170.2,14430113,257324718,2.84,,0,9263100591
SH603097,江苏华辰,22.68,-0.32,-1.39,165.89,2833502,64350837,7.08,44.496,0.882,3628800000
SH603170,宝立食品,26.16,-1.37,-4.98,160.3,6530504,172945955,16.32,57.596,0,10464261600
SZ002992,宝明科技,34.67,0.48,1.4,158.35,10703921,370599759.22,13.66,,0,6412775900
SZ002865,钧达股份,178.65,6.19,3.59,155.21,4629737,830219473.32,3.35,196.09,0,25283311371
SH688290,景业智能,85.56,-0.99,-1.14,152.46,511508,43755993,3.05,70.998,0,7050144000
SH603211,晋拓股份,16.33,-0.06,-0.37,149.31,6137985,99269506,9.03,53.216,0,4438624640
SZ300700,岱勒新材,35.33,2.41,7.32,147.58,5186736,181420466.54,5.63,,0,4293746087
SH600766,*ST园城,11.53,0.21,1.86,144.8,2060295,23792882,0.92,6915.996,0,2585335258
SH600188,兖矿能源,54.21,4.92,9.98,143.96,33756847,1784231851,1.13,9.495,3.689,268269224324
SH600546,山煤国际,18.32,0.79,4.51,142.65,84494405,1533923202,4.26,4.759,11.01,36318596485
SH688091,上海谊众-U,108.1,7.25,7.19,140.86,1631335,177525357,6.42,165.254,0,11436980000
SZ000595,宝塔实业,7.68,-0.42,-5.19,140.75,107723292,826651718.02,9.47,,0,8744880891
SH688120,华海清科,327.85,0.85,0.26,139.9,732690,239306117,3.07,111.569,0,34970677595
SZ002965,祥鑫科技,58.9,-0.4,-0.67,134.46,8449730,493888626.93,8.38,114.598,0.184,10483495438
SZ301073,君亭酒店,53,-2.21,-4,133.19,1776559,94941973.52,5.88,251.563,0.629,6402930000
SH603908,牧高笛,94.37,5.33,5.99,129.51,2171664,204712123,3.26,45.49,0.954,6293535300
SZ002514,宝馨科技,11.5,-0.2,-1.71,128.63,33023094,383824998.6,5.96,,0,8280394036
SH688320,禾川科技,53.77,-4,-6.92,127.26,2118933,117275476,6.86,72.55,0,8120004928
SZ301266,宇邦新材,60.45,-1.83,-2.94,125.06,1985925,122957927.59,8.05,78.789,0,6286800000
SZ001330,博纳影业,11.18,-1.24,-9.98,122.27,90075300,1046646302.49,32.77,26.87,,15367122241
SH688032,禾迈股份,1112,83.12,8.08,121.87,524528,572248097,3.98,191.683,0.193,62272000000
SZ002244,滨江集团,10.06,0.17,1.72,121.62,27196103,271049724.98,1.01,10.282,2.247,31301125533
SH600256,广汇能源,13.88,1.22,9.64,121.4,222406131,3026363445,3.39,10.443,2.882,91132681329
SZ002868,绿康生化,24.09,2.19,10,118.4,2901640,68666241.1,1.91,,0,3743967513
SH688377,迪威尔,40.5,2.23,5.83,117.62,3023370,120520075,2.77,113.115,0,7884013500
SH688063,派能科技,428,14.8,3.58,117.56,2961896,1269515168,3.62,156.025,0.145,66273460124
SZ001309,德明利,57.53,0.6,1.05,116.77,4018809,230632211.25,20.09,45.917,0,4602400000
SH600313,农发种业,11.44,-0.09,-0.78,116.67,55966507,633808755,5.49,142.855,0,12380352705
SH603070,万控智造,20.11,0.26,1.31,114.91,4087768,82052189,6.81,40.618,0.746,8064110000
SH900948,伊泰B股,1.713,0.03,1.78,114.8,5447051,9324072,0.41,2.958,8.099,5574113991
SH688248,南网科技,49.4,3.27,7.09,114.58,8693550,425846566,11.33,152.217,0.172,27896180000
SH601225,陕西煤业,24.53,1.42,6.14,114.26,80911973,1960479438,0.83,6.351,5.503,237818350000
SH688261,东微半导,275.42,1.72,0.63,112.15,459910,127402919,3.09,87.583,0.12,18556798999
SH603261,立航科技,41.21,-1,-2.37,110.48,897564,37163160,4.66,47.777,0.679,3171596685
SH688281,华秦科技,284.33,10.29,3.75,110.25,438000,121087268,2.03,98.895,0.088,26537467425
SZ301209,联合化学,31.24,2.04,6.99,108.96,6422623,194342323.79,32.11,33.606,0,2499200000
SZ000810,创维数字,20.37,-0.36,-1.74,108.46,18149946,372828701.53,1.62,37.253,0.454,23429901387
SZ002077,大港股份,15.75,0.53,3.48,105.35,105989191,1652366621.18,18.26,108.308,0,9140489080
SH600191,华资实业,7.34,0.08,1.1,104.84,9932918,72550432,2.05,,0.136,3559400880
SH603688,石英股份,128.72,5.69,4.62,104.57,11504348,1483358730,3.18,101.756,0.181,46503591659
SZ001228,永泰运,62.17,-1.84,-2.87,104.1,1938475,122730228.61,7.46,26.418,0.483,6457262742
SZ000736,中交地产,12.89,0.43,3.45,103.48,43287778,551536625.32,6.22,56.631,0.31,8964140251
SH688556,高测股份,97.2,8.2,9.21,102,6147976,588075119,3.62,65.818,0.132,22154150592
SZ002731,萃华珠宝,21.57,0.42,1.99,100.98,3096459,66876439.38,1.29,187.853,0.046,5525284920
SH605117,德业股份,388.8,9.75,2.57,99.73,2314053,901845435,2.85,115.508,0.22,92897461440
SZ002101,广东鸿图,23.18,-0.73,-3.05,98.53,29968431,702185377.07,5.67,31.449,1.294,12259412114
SH601975,招商南油,3.99,0.36,9.92,98.51,398584781,1560349921,8.21,37.159,0,19362607554
SH605366,宏柏新材,20.06,-0.37,-1.81,97.62,8472113,169561086,4.03,25.43,0.614,8753341480
SZ001313,粤海饲料,10.47,-0.15,-1.41,95.42,5654188,59309227.12,5.65,103.341,0.525,7329000000
SH688700,东威科技,132.3,-0.2,-0.15,95.13,1884474,251986778,2.11,105.437,0.227,19474560000
SZ000965,天保基建,5.07,0.05,1,95,64528283,324634791.08,5.81,28.266,0,5626842638
SZ001205,盛航股份,33.6,1.6,5,94.87,6034909,193575149.47,5.17,36.441,0.276,5734489589
